Window_Size,GS,Total_Mem_MB,Avg_Mem_KB,Effective_Pixel,Max_Mem_MB,Total_Valid_Windows
5x5,4,352.0400030396964,0.12995187239620531,1.3307071733371425,tensor(0.3001),2774019
5x5,8,515.7431602987444,0.37722416349057714,1.9313877170717548,tensor(0.1945),1400019
5x5,16,707.5799933813171,1.0248241020613098,2.623549701276953,tensor(0.1782),707011
5x5,48,1203.0098807106067,5.099884156338253,4.351901146741976,tensor(0.1258),241551
10x10,4,204.63545092255018,0.2998540440432372,0.7676263527506871,tensor(0.4296),698829
10x10,8,214.64249666538464,0.6234563258893402,0.7980240971383554,tensor(0.2676),352541
10x10,16,247.13035247522117,1.422308981607923,0.9102777482290707,tensor(0.2048),177923
10x10,48,352.1883985249708,5.957068386018667,1.2708412556839823,tensor(0.1375),60540
20x20,4,141.67679962587556,0.8141019770314895,0.5210252653001533,tensor(0.5386),178205
20x20,8,112.4632494415434,1.2820319658474022,0.4102502290711687,tensor(0.3393),89828
20x20,16,104.65970285131002,2.366967085996322,0.3787147337594115,tensor(0.2631),45278
20x20,48,116.3440752876553,7.767903311896657,0.41428817663448836,tensor(0.1622),15337
40x40,4,110.6297025082646,2.468186312442001,0.3949098099907201,tensor(0.8528),45898
40x40,8,72.43091149178696,3.2085678044466968,0.25668542435573577,tensor(0.5185),23116
40x40,16,54.82380737121346,4.824231223521748,0.19296924894086992,tensor(0.3782),11637
40x40,48,45.38845860984577,11.805380141346728,0.15740506855128972,tensor(0.2177),3937
80x80,4,94.1401434203458,7.784197905558308,0.31136791622233234,tensor(1.8786),12384
80x80,8,54.73911223255709,8.998691752470455,0.1799738350494091,tensor(1.0658),6229
80x80,16,35.170979528003954,11.554405850714163,0.11554405850714164,tensor(0.6723),3117
80x80,48,21.720290367258713,21.38613205391627,0.07128710684638757,tensor(0.3515),1040
160x160,4,84.55367186091462,25.80714157543266,0.25807141575432657,tensor(5.2278),3355
160x160,8,45.81773161399178,27.943631431046803,0.13971815715523403,tensor(2.8366),1679
160x160,16,26.407800398068503,32.19236619955017,0.08048091549887544,tensor(1.6328),840
160x160,48,12.635385977104306,46.20941157341004,0.0385078429778417,tensor(0.7310),280
2000x2000,4,68.72748386859894,733.0931612650553,0.2462730028605208,tensor(86.9992),96
2000x2000,8,34.551873207092285,737.1066284179688,0.12381063717442996,tensor(43.6417),48
2000x2000,16,17.337107241153717,739.7165756225586,0.062124512943861475,tensor(21.8354),24
2000x2000,48,5.807622790336609,743.3757171630859,0.020810607686321377,tensor(7.2820),8
